sample_id,reference,surface_area_before,surface_area_after,pore_volume_before,pore_volume_after,amine_type,molecular_weight,nitrogen_atom_content,primary_amine_proportion,secondary_amine_proportion,tertiary_amine_proportion,amine_loading,temperature,co2_partial_pressure,relative_humidity,co2_adsorbed_amount
S16_004,S16,172.0,67.0,0.35,0.17,PEI (linear),800.0,0.3256,0.0,1.0,0.0,0.176,25.0,400.0,0.0,0.61
S16_005,S16,172.0,58.0,0.35,0.18,PEI (linear),800.0,0.3256,0.0,1.0,0.0,0.2,25.0,400.0,0.0,0.55
S17_001,S17,291.1,290.53,0.49,0.49,TEPA,189.3,0.37,0.4,0.6,0.0,0.129,25.0,400.0,0.0,0.38
S17_002,S17,291.1,248.901,0.49,0.48,TEPA,189.3,0.37,0.4,0.6,0.0,0.121,25.0,400.0,0.0,0.54
S17_003,S17,291.1,244.95,0.49,0.46,TEPA,189.3,0.37,0.4,0.6,0.0,0.151,25.0,400.0,0.0,0.78
S17_004,S17,291.1,258.86,0.49,0.45,TEPA,189.3,0.37,0.4,0.6,0.0,0.16,25.0,400.0,0.0,1.1
S17_005,S17,291.1,251.25,0.49,0.47,TEPA,189.3,0.37,0.4,0.6,0.0,0.185,25.0,400.0,0.0,0.27
S18_001,S18,275.0,22.0,0.22,0.17,TEPA,189.3,0.37,0.4,0.6,0.0,0.128,25.0,5000.0,0.0,0.15
S18_002,S18,335.0,18.0,0.21,0.15,TEPA,189.3,0.37,0.4,0.6,0.0,0.139,25.0,5000.0,0.0,1.12
S18_003,S18,449.0,38.0,0.23,0.15,TEPA,189.3,0.37,0.4,0.6,0.0,0.109,25.0,5000.0,0.0,0.45
S19_001,S19,816.0,256.0,0.76,0.38,PEI (branched),1800.0,0.3256,0.364,0.273,0.364,0.24,30.0,400.0,0.0,0.14
S19_002,S19,816.0,197.0,0.76,0.31,PEI (branched),1800.0,0.3256,0.364,0.273,0.364,0.29,30.0,400.0,0.0,0.35
S19_003,S19,816.0,68.0,0.76,0.15,PEI (branched),1800.0,0.3256,0.364,0.273,0.364,0.37,30.0,400.0,0.0,0.84
